Date,Close,High,Low,Open,Volume
2022-01-03,100.80000305175781,100.80000305175781,95.8499984741211,95.94999694824219,1433841
2022-01-04,97.5,102.80000305175781,96.80000305175781,102.0,1627872
2022-01-05,97.05000305175781,99.5,96.05000305175781,97.9000015258789,907997
2022-01-06,100.1500015258789,101.69999694824219,94.5,96.44999694824219,1796340
2022-01-07,98.55000305175781,102.30000305175781,98.05000305175781,101.55000305175781,1091828
2022-01-10,103.44999694824219,103.44999694824219,95.0999984741211,98.55000305175781,4419483
2022-01-11,98.4000015258789,107.5,98.30000305175781,105.0999984741211,4924424
2022-01-12,96.4000015258789,99.75,94.4000015258789,98.19999694824219,2552372
2022-01-13,99.05000305175781,100.0,95.0,97.80000305175781,1628860
2022-01-14,102.75,104.0,97.4000015258789,98.69999694824219,3291223
2022-01-17,105.55000305175781,107.80000305175781,102.75,103.6500015258789,3772409
2022-01-18,101.94999694824219,107.5,101.5,106.9000015258789,1845994
2022-01-19,99.75,102.94999694824219,98.80000305175781,102.4000015258789,1381285
2022-01-20,101.55000305175781,102.5,99.0,99.0,1531294
2022-01-21,98.25,102.0,97.19999694824219,100.0,1446661
2022-01-24,93.55000305175781,98.75,93.3499984741211,98.0,2332253
2022-01-25,98.05000305175781,98.19999694824219,91.4000015258789,92.5999984741211,2213795
2022-01-27,97.80000305175781,100.5,96.05000305175781,97.0,1565476
2022-01-28,102.30000305175781,102.6500015258789,98.6500015258789,98.6500015258789,3224151
2022-01-31,101.05000305175781,104.0,99.80000305175781,103.30000305175781,2102086
2022-02-01,106.0999984741211,106.0999984741211,101.55000305175781,103.0,2850166
2022-02-02,110.0999984741211,111.4000015258789,104.69999694824219,108.69999694824219,5451390
2022-02-03,115.5999984741211,115.5999984741211,111.0,111.05000305175781,1737907
2022-02-04,121.3499984741211,121.3499984741211,118.55000305175781,119.5999984741211,1577705
2022-02-07,133.4499969482422,133.4499969482422,123.0,128.0,9134933
2022-02-08,134.4499969482422,143.8000030517578,126.5999984741211,140.0,12445385
2022-02-09,147.85000610351562,147.85000610351562,133.0,138.6999969482422,11459699
2022-02-10,133.10000610351562,150.0,133.10000610351562,149.39999389648438,6161277
2022-02-11,134.0,141.0,127.5,128.5,4806656
2022-02-14,120.5999984741211,120.5999984741211,120.5999984741211,120.5999984741211,974557
2022-02-15,111.8499984741211,119.0,108.55000305175781,111.0999984741211,13727792
2022-02-16,122.5999984741211,123.0,114.30000305175781,114.5,7114241
2022-02-17,113.3499984741211,127.69999694824219,111.80000305175781,123.0,5168249
2022-02-18,120.0999984741211,122.6500015258789,113.8499984741211,114.8499984741211,3668594
