Date,Close,High,Low,Open,Volume
2022-01-03,14.25,14.25,13.699999809265137,13.75,27795816
2022-01-04,13.899999618530273,14.800000190734863,13.699999809265137,14.800000190734863,26348271
2022-01-05,13.850000381469727,14.149999618530273,13.550000190734863,13.850000381469727,14234815
2022-01-06,14.300000190734863,14.5,13.449999809265137,13.600000381469727,22589016
2022-01-07,14.149999618530273,14.800000190734863,14.0,14.449999809265137,19328941
2022-01-10,14.850000381469727,14.850000381469727,14.25,14.300000190734863,35695334
2022-01-11,14.300000190734863,15.399999618530273,14.149999618530273,15.350000381469727,45398849
2022-01-12,14.350000381469727,15.0,14.0,14.649999618530273,25548681
2022-01-13,14.25,14.550000190734863,14.0,14.5,13391613
2022-01-14,14.949999809265137,14.949999809265137,14.0,14.25,18615828
2022-01-17,15.649999618530273,15.649999618530273,15.100000381469727,15.100000381469727,11999747
2022-01-18,16.100000381469727,16.399999618530273,15.550000190734863,16.399999618530273,103601063
2022-01-19,15.850000381469727,16.149999618530273,15.300000190734863,15.949999809265137,54223128
2022-01-20,16.549999237060547,16.600000381469727,15.800000190734863,15.949999809265137,41363262
2022-01-21,16.049999237060547,16.75,15.800000190734863,16.5,30866131
2022-01-24,15.25,16.149999618530273,15.25,16.049999237060547,15393640
2022-01-25,14.75,15.199999809265137,14.5,14.600000381469727,32146516
2022-01-27,14.800000190734863,15.100000381469727,14.199999809265137,14.350000381469727,16984648
2022-01-28,15.199999809265137,15.5,15.0,15.050000190734863,27226474
2022-01-31,14.800000190734863,15.800000190734863,14.449999809265137,15.5,29815727
2022-02-01,15.5,15.5,14.649999618530273,15.050000190734863,19550315
2022-02-02,16.049999237060547,16.25,15.199999809265137,15.800000190734863,34388912
2022-02-03,16.850000381469727,16.850000381469727,15.949999809265137,16.200000762939453,55246431
2022-02-04,17.649999618530273,17.649999618530273,16.850000381469727,17.049999237060547,25961409
2022-02-07,18.5,18.5,16.899999618530273,18.100000381469727,108059189
2022-02-08,17.600000381469727,19.25,17.600000381469727,18.899999618530273,123634668
2022-02-09,17.0,18.149999618530273,16.75,17.600000381469727,93781605
2022-02-10,16.149999618530273,17.100000381469727,16.149999618530273,17.049999237060547,42666063
2022-02-11,15.949999809265137,16.75,15.399999618530273,15.399999618530273,43839935
2022-02-14,15.199999809265137,15.199999809265137,15.199999809265137,15.199999809265137,4034965
2022-02-15,14.550000190734863,14.899999618530273,14.449999809265137,14.449999809265137,99325716
2022-02-16,14.800000190734863,15.25,14.350000381469727,14.399999618530273,59916365
2022-02-17,14.149999618530273,15.100000381469727,14.100000381469727,15.0,33574601
2022-02-18,14.149999618530273,14.550000190734863,13.800000190734863,13.899999618530273,21275395
2022-02-21,13.600000381469727,14.149999618530273,13.449999809265137,13.850000381469727,28840995
2022-02-22,12.949999809265137,13.5,12.949999809265137,13.050000190734863,28046599
